Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
04/24/2026 11:00 AM ET,"4204 COLUMBIA ST ORLANDO, 32811-4170","$40,406.69","$279,290.00","$222,388.82",2025-CA-005085-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-005085-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
04/24/2026 11:00 AM ET,"5765 ST CHRISTOPHER DR UNIT 56 ORLANDO, 32822","$133,397.76","$95,259.00","$85,100.00",2025-CA-010318-O,302315793207560,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-010318-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302315793207560
04/27/2026 11:00 AM ET,"10436 JANE EYRE DR ORLANDO, 32825","$233,018.61","$303,087.00",Hidden,2025-CA-007146-O,312229668802200,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-007146-O&bypassPage=1,https://pcpao.gov/Parcel-Details/312229668802200
04/27/2026 11:00 AM ET,"2707 GRASSMERE LN ORLANDO, 32808","$353,453.90","$348,790.00",Hidden,2025-CA-010076-O,282213923802040,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-010076-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282213923802040
04/28/2026 11:00 AM ET,"2943 WOOLRIDGE DR ORLANDO, 32837","$3,545.71","$112,760.00",Hidden,2024-CA-011315-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-011315-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
04/28/2026 11:00 AM ET,"101 W GRANT ST ORLANDO, 32806","$6,705.78","$501,950.00",Hidden,2025-CA-006362-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-006362-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
04/29/2026 11:00 AM ET,"5001 LATROBE DR WINDERMERE, 34786","$208,841.27","$1,971,063.00",Hidden,2024-CA-001315-O,MULTIPLE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-001315-O&bypassPage=1,https://pcpao.gov/Parcel-Details/MULTIPLE
04/29/2026 11:00 AM ET,"7921 RIFFLE LN ORLANDO, 32818","$12,238.62","$282,021.00",Hidden,2024-CA-005904-O,282202755701060,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-005904-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282202755701060
04/29/2026 11:00 AM ET,"143 BRIGADOON PT ORLANDO, 32835","$272,579.73","$132,860.00",Hidden,2024-CA-006502-O,282226922400560,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-006502-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282226922400560
04/30/2026 11:00 AM ET,"8228 SOMMERVILLE DR ORLANDO, 32829","$318,270.43","$282,379.00",Hidden,2019-CA-013607-O,302324898000970,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2019-CA-013607-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302324898000970
