Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
04/28/2026 11:00 AM ET,"7348 GRAND AVENUE WINTER PARK, FL- 32792","$346,669.15","$316,403.00",Hidden,2018CA000003,35-21-30-516-0C00-0110,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2018CA000003&bypassPage=1,https://pcpao.gov/Parcel-Details/35-21-30-516-0C00-0110
05/05/2026 11:00 AM ET,"352 FAIRGREEN PL CASSELBERRY, FL- 32707","$320,479.70","$272,403.00",Hidden,2024CA001429,14-21-30-5GN-0000-0080,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA001429&bypassPage=1,https://pcpao.gov/Parcel-Details/14-21-30-5GN-0000-0080
05/05/2026 11:00 AM ET,"2661 W 22ND ST SANFORD, FL- 32771","$95,103.36","$94,337.00",Hidden,2024CA001730,35-19-30-517-1300-0070,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA001730&bypassPage=1,https://pcpao.gov/Parcel-Details/35-19-30-517-1300-0070
05/05/2026 11:00 AM ET,"1131 TRILLIUM PARK LN SANFORD, FL- 32773","$208,832.31","$219,387.00",Hidden,2024CA001969,12-20-30-515-0000-2390,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA001969&bypassPage=1,https://pcpao.gov/Parcel-Details/12-20-30-515-0000-2390
05/05/2026 11:00 AM ET,"498 N PIN OAK PL UNIT 108 LONGWOOD, FL- 32779","$19,790.20","$164,160.00",Hidden,2025CC004947,33-20-29-5SH-0800-1080,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CC004947&bypassPage=1,https://pcpao.gov/Parcel-Details/33-20-29-5SH-0800-1080
05/12/2026 11:00 AM ET,"1870 CROWLEY CIR E LONGWOOD, FL- 32779","$732,940.91","$671,154.00",Hidden,2023CA003090,24-20-29-501-0000-1770,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023CA003090&bypassPage=1,https://pcpao.gov/Parcel-Details/24-20-29-501-0000-1770
05/12/2026 11:00 AM ET,"2189 SUSSEX RD WINTER PARK, FL- 32792","$500,276.51","$339,609.00",Hidden,2024CA001525,33-21-30-510-0C00-0030,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA001525&bypassPage=1,https://pcpao.gov/Parcel-Details/33-21-30-510-0C00-0030
05/12/2026 11:00 AM ET,"3128 PORTA ROMANO WAY LAKE MARY, FL- 32746","$35,567.75","$458,136.00",Hidden,2024CA001863,08-20-30-514-0000-3030,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CA001863&bypassPage=1,https://pcpao.gov/Parcel-Details/08-20-30-514-0000-3030
05/12/2026 11:00 AM ET,"640 N LONGVIEW PL LONGWOOD, FL- 32779","$10,908.41","$253,731.00",Hidden,2024CC003991,34-20-29-510-0000-0520,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024CC003991&bypassPage=1,https://pcpao.gov/Parcel-Details/34-20-29-510-0000-0520
05/12/2026 11:00 AM ET,"3310 SANFORD AVE SANFORD, FL- 32773","$186,238.10","$214,462.00",Hidden,2025CA000036,Property,https://seminole.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025CA000036&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
